NPSCompany,NPSIndustry,NPSScore,FortuneYear,FortuneRank,FortuneCompany,FortuneRevenue($ millions),FortuneProfit($ millions)
WESCO International,Wholesalers: Diversified,-4,2013,344,CenterPoint Energy,7452,417
Quanta Services,"Engineering, Construction",10,2013,345,WellCare Health Plans,7409,184.7
Mohawk Industries,zMiscellaneous,-7,2013,346,Dollar Tree,7394.5,619.3
Motorola Solutions,Network and Other Communications Equipment,-4,2013,347,Pantry,7393.6,-2.5
Lennar,Homebuilders,8,2013,348,MasterCard,7391,2759
TravelCenters of America,Specialty Retailers: Other,1,2013,349,Tenneco,7363,275
Sealed Air,"Packaging, Containers",15,2013,350,Avis Budget Group,7357,290
Coca-Cola Enterprises,Beverages,-2,2013,351,Terex,7348.4,105.8
Celgene,Pharmaceuticals,7,2013,352,Cognizant Technology Solutions,7346.5,1051.3
Williams,Energy,-10,2013,353,Fidelity National Financial,7326.1,606.5
Ashland,Chemicals,10,2013,354,Steel Dynamics,7290.2,163.6
Interpublic Group,"Advertising, marketing",12,2013,355,Precision Castparts,7278.3,1224.1
Blackstone Group,Diversified Financials,10,2013,356,Dana Holding,7258,300
Ralph Lauren,Consumer Brands / Retail/E-tail,33,2013,357,Boston Scientific,7249,-4068
Quest Diagnostics,Health Care: Pharmacy and Other Services,13,2013,358,BorgWarner,7183.2,500.9
Hershey,Food Consumer Products,-1,2013,359,Visteon,7154,100
Terex,Construction and Farm Machinery,5,2013,360,Barnes & Noble,7129.2,-68.9
Boston Scientific,Medical Products and Equipment,-5,2013,361,Fifth Third Bancorp,7106,1576
Newmont Mining,"Mining, Crude-Oil Production",9,2013,362,Franklin Resources,7101,1931.4
Allergan,Pharmaceuticals,3,2013,363,Weyerhaeuser,7059,385
O'Reilly Automotive,Specialty Retailers: Other,1,2013,364,Owens-Illinois,7000,184
Casey's General Stores,Specialty Retailers: Other,-5,2013,365,Alpha Natural Resources,6974.9,-2437.1
CMS Energy,Utilities: Gas and Electric,11,2013,366,Interpublic Group,6956.2,446.7
Foot Locker,Specialty Retailers: Apparel,6,2013,367,OfficeMax,6920.4,416.8
W.R. Berkley,Insurance: Property and Casualty (Stock),1,2013,368,Core-Mark Holding,6905.4,33.9
PetSmart,Specialty Retailers: Other,4,2013,369,Pacific Life,6874,460
Pacific Life,"Insurance: Life, Health (stock)",16,2013,370,Ralph Lauren,6859.5,681
Commercial Metals,Metals,15,2013,371,Agilent Technologies,6858,1153
Agilent Technologies,"Scientific,Photographic and Control Equipment",-9,2013,372,Dole Food,6832.3,-144.5
Huntington Ingalls Industries,Aerospace and Defense,-9,2013,373,Ameren,6828,-974
Mutual of Omaha Insurance,"Insurance: Life, Health (stock)",9,2013,374,Mylan,6796.1,640.9
Live Nation Entertainment,Entertainment,15,2013,375,Avery Dennison,6761.6,215.4
Dick's Sporting Goods,Specialty Retailers: Other,-9,2013,376,Health Management Associates,6760.9,164.3
Oshkosh,Motor Vehicles and Parts,11,2013,377,PetSmart,6758.2,389.5
Celanese,Chemicals,-3,2013,378,Dillard's,6751.6,336
Spirit AeroSystems Holdings,Aerospace and Defense,5,2013,379,Symantec,6730,1172
United Natural Foods,Wholesalers: Food and Grocery,-1,2013,380,Huntington Ingalls Industries,6708,146
Peabody Energy,"Mining, Crude-Oil Production",-3,2013,381,Enbridge Energy Partners,6706.1,493.1
Owens-Illinois,"Packaging, Containers",-8,2013,382,Cablevision Systems,6705.5,233.5
Dillard's,General Merchandisers,-9,2013,383,Jarden,6696.1,243.9
Level 3 Communications,Telecommunications,-3,2013,384,Hershey,6644.3,660.9
Pantry,Specialty Retailers: Other,-7,2013,385,Wesco International,6579.3,201.8
LKQ,Wholesalers: Diversified,9,2013,386,Ingredion,6532.1,427.5
Integrys Energy Group,Utilities: Gas and Electric,13,2013,387,CBRE Group,6519.8,315.6
Symantec,Computer Software,-3,2013,388,UGI,6519.2,199.4
Buckeye Partners,Pipelines,7,2013,389,NuStar Energy,6516.8,-226.6
Ryder System,"Trucking, Truck Leasing",3,2013,390,McGraw-Hill,6512,437
SanDisk,Semiconductors and Other Electronic Components,12,2013,391,Vanguard Health Systems,6488.4,57.3
Rockwell Automation,"Electronics, Electrical Equip.",14,2013,392,Casey's General Stores,6460.8,116.8
Dana Holding,Motor Vehicles and Parts,14,2013,393,American Family Insurance Group,6456.8,360.5
Lansing Trade Group,Wholesalers: Diversified,2,2013,394,Mutual of Omaha Insurance,6437,283.8
NCR,"Computers, Office Equipment",13,2013,395,Mattel,6420.9,776.5
Expeditors International of Washington,Transportation and Logistics,8,2013,396,Celanese,6418,605
Omnicare,Health Care: Pharmacy and Other Services,16,2013,397,Quanta Services,6413.5,306.6
AK Steel Holding,Metals,1,2013,398,Level 3 Communications,6376,-422
Seaboard,Food Production,0,2013,399,Emcor Group,6346.7,146.6
NiSource,Utilities: Gas and Electric,15,2013,400,Starwood Hotels & Resorts,6321,562
Cablevision Systems,Telecommunications,1,2013,401,Regions Financial,6275,1120
Anixter International,Wholesalers: Diversified,6,2013,402,Northeast Utilities,6273.8,525.9
EMCOR Group,"Engineering, Construction",-3,2013,403,Rockwell Automation,6259.4,737
Fidelity National Information Services,Financial Data Services,11,2013,404,Ryder System,6257,210
Barnes & Noble,Consumer Brands / Retail/E-tail,45,2013,405,Anixter International,6253.1,124.8
KBR,"Engineering, Construction",6,2013,406,CMS Energy,6253,382
Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),-1,2013,407,CC Media Holdings,6246.9,-424.5
Jones Financial,Securities,-9,2013,408,NetApp,6233.2,605.4
Avery Dennison,Chemicals,10,2013,409,Advance Auto Parts,6205,387.7
iHeartMedia,Entertainment,-6,2013,410,Kindred Healthcare,6190.7,-40.4
Discovery Communications,Entertainment,12,2013,411,Seaboard,6189.1,282.3
Harley-Davidson,Transportation Equipment,-8,2013,412,O'Reilly Automotive,6182.2,585.7
Sanmina,Semiconductors and Other Electronic Components,1,2013,413,Foot Locker,6182,397
Trinity Industries,Transportation Equipment,-8,2013,414,Windstream,6169.2,168
J.B. Hunt Transport Services,"Trucking, Truck Leasing",-7,2013,415,CH2M Hill,6160.6,93
Charles Schwab,Securities,6,2013,416,Omnicare,6160.4,194.9
Erie Insurance Group,Insurance: Property and Casualty (Stock),9,2013,417,FMC Technologies,6151.4,430
Dr Pepper Snapple Group,Beverages,6,2013,418,SLM,6110,939
Ameren,Utilities: Gas and Electric,1,2013,419,CF Industries Holdings,6104,1848.7
Mattel,"Toys, Sporting Goods",-8,2013,420,Sanmina,6093.3,180.2
Laboratory Corp. of America,Health Care: Pharmacy and Other Services,14,2013,421,NII Holdings,6086.5,-765.2
Gannett,"Publishing, Printing",-9,2013,422,PVH,6043,433.8
Starwood Hotels & Resorts,"Hotels, Casinos, Resorts",7,2013,423,Molina Healthcare,6028.8,9.8
General Cable,"Electronics, Electrical Equip.",13,2013,424,Cliffs Natural Resources,6024.3,-899.4
A-Mark Precious Metals,zMiscellaneous,9,2013,425,General Cable,6014.3,4
Graybar Electric,Wholesalers: Diversified,2,2013,426,Shaw Group,6008.4,198.9
Energy Future Holdings,Energy,16,2013,427,Dr Pepper Snapple Group,5995,629
HRG Group,Household and Personal Products,5,2013,428,Expeditors International of Washington,5980.9,333.4
MRC Global,"Oil and Gas Equipment, Services",4,2013,429,Harris,5964,30.6
Spectra Energy,Pipelines,-2,2013,430,AK Steel Holding,5933.7,-1027.3
Asbury Automotive Group,"Automotive Retailing, Services",13,2013,431,SPX,5925.2,259.2
Packaging Corp. of America,"Packaging, Containers",3,2013,432,Actavis,5914.9,97.3
Windstream Holdings,Telecommunications,-5,2013,433,Newell Rubbermaid,5902.7,401.3
PulteGroup,Homebuilders,6,2013,434,Fidelity National Information Services,5888.1,461.2
JetBlue Airways,Airlines,16,2013,435,Targa Resources,5885.7,38.1
Newell Rubbermaid,"Home Equipment, Furnishings",1,2013,436,Booz Allen Hamilton Holding,5859.2,240
Con-way,Transportation and Logistics,10,2013,437,Dick's Sporting Goods,5836.1,290.7
Calumet Specialty Products Partners,Petroleum Refining,15,2013,438,W.R. Berkley,5823.6,510.6
Expedia,Internet Services and Retailing,-10,2013,439,Live Nation Entertainment,5819,-163.2
American Financial Group,Insurance: Property and Casualty (Stock),11,2013,440,Allergan,5806.1,1098.8
Tractor Supply,Specialty Retailers: Other,3,2013,441,NCR,5792,146
United Rentals,zMiscellaneous,12,2013,442,Mohawk Industries,5788,250.3
Ingredion,Food Production,-3,2013,443,Auto-Owners Insurance,5747.7,435.6
Navient,Diversified Financials,9,2013,444,Laboratory Corp. of America,5671.4,583.1
MeadWestvaco,"Packaging, Containers",4,2013,445,Western Union,5664.8,1025.9
AGL Resources,Utilities: Gas and Electric,-10,2013,446,Joy Global,5660.9,762
St. Jude Medical,Medical Products and Equipment,-3,2013,447,Energy Future Holdings,5636,-3360
J.M. Smucker,Food Consumer Products,15,2013,448,MeadWestvaco,5594,205
Western Union,Financial Data Services,-9,2013,449,Harley-Davidson,5580.5,623.9
Clorox,Household and Personal Products,8,2013,450,Con-way,5580.2,104.5
Domtar,Forest and Paper Products,-2,2013,451,MRC Global,5570.9,118
Kelly Services,Temporary Help,8,2013,452,J.M. Smucker,5525.8,459.7
Old Republic International,Insurance: Property and Casualty (Stock),14,2013,453,Exelis,5522,330
Advanced Micro Devices,Semiconductors and Other Electronic Components,-6,2013,454,Biogen Idec,5516.5,1380
Netflix,Consumer Brands / Entertainment,13,2013,455,Erie Insurance Group,5512,160
Booz Allen Hamilton Holding,Information Technology Services,-2,2013,456,Celgene,5506.7,1456.2
Quintiles Transnational Holdings,Health Care: Pharmacy and Other Services,1,2013,457,St. Jude Medical,5503,752
Wynn Resorts,"Hotels, Casinos, Resorts",-6,2013,458,Domtar,5482,172
Jones Lang LaSalle,Real estate,-10,2013,459,Calpine,5478,199
Regions Financial,Commercial Banks,-6,2013,460,Susser Holdings,5469.6,46.7
CH2M Hill,"Engineering, Construction",3,2013,461,Clorox,5468,541
Western & Southern Financial Group,"Insurance: Life, Health (Mutual)",14,2013,462,Kelly Services,5450.5,50.1
Lithia Motors,"Automotive Retailing, Services",-7,2013,463,Consol Energy,5430.3,388.5
Alaska Air Group,Airlines,6,2013,464,Advanced Micro Devices,5422,-1183
Host Hotels & Resorts,Real estate,13,2013,465,Graybar Electric,5413.3,86.3
Harman International Industries,"Electronics, Electrical Equip.",12,2013,466,Big Lots,5400.1,177.1
Amphenol,Network and Other Communications Equipment,1,2013,467,Gannett,5353.2,424.3
Realogy Holdings,Real estate,7,2013,468,Telephone & Data Systems,5345.3,81.9
Essendant,Wholesalers: Electronics and Office Equipment,-2,2013,469,Host Hotels & Resorts,5323,61
Hanesbrands,Apparel,-4,2013,470,Insight Enterprises,5301.4,92.8
Kindred Healthcare,Health Care: Medical Facilities,16,2013,471,Western & Southern Financial Group,5293.7,137.7
ARRIS Group,Network and Other Communications Equipment,12,2013,472,Andersons,5272,79.5
Insight Enterprises,Wholesalers: Electronics and Office Equipment,12,2013,473,Priceline.com,5261,1419.6
Alliance Data Systems,Financial Data Services,-8,2013,474,United Natural Foods,5236,91.3
LifePoint Health,Health Care: Medical Facilities,10,2013,475,Spectra Energy,5174,940
Pioneer Natural Resources,"Mining, Crude-Oil Production",-2,2013,476,Owens Corning,5172,-19
Wyndham Worldwide,"Hotels, Casinos, Resorts",15,2013,477,Avaya,5171,-344
Owens Corning,"Building Materials, Glass",11,2013,478,Wynn Resorts,5154.3,502
Alleghany,Insurance: Property and Casualty (Stock),9,2013,479,Bemis,5139.2,173.8
McGraw Hill Financial,Financial Data Services,3,2013,480,NiSource,5102.7,416.1
Big Lots,Specialty Retailers: Other,10,2013,481,MetroPCS Communications,5101.3,394.2
Northern Tier Energy,Petroleum Refining,2,2013,482,Facebook,5089,53
Hexion,Chemicals,1,2013,483,Pepco Holdings,5081,285
Markel,Insurance: Property and Casualty (Stock),-10,2013,484,United Stationers,5080.1,111.8
Noble Energy,"Mining, Crude-Oil Production",-1,2013,485,American Financial Group,5062,488
Leidos Holdings,Information Technology Services,2,2013,486,J.B. Hunt Transport Services,5055,310.4
Rockwell Collins,Aerospace and Defense,-1,2013,487,SanDisk,5052.5,417.4
Airgas,Wholesalers: Diversified,12,2013,488,Charles Schwab,5049,928
Sprague Resources,Wholesalers: Diversified,7,2013,489,Pitney Bowes,5039.2,445.2
YRC Worldwide,"Trucking, Truck Leasing",-1,2013,490,Allegheny Technologies,5031.5,158.4
Hanover Insurance Group,Insurance: Property and Casualty (Stock),1,2013,491,Jones Financial,5027.4,555
Fiserv,Financial Data Services,-5,2013,492,Frontier Communications,5011.9,136.6
Lorillard,Tobacco,1,2013,493,Timken,4987,495.5
American Tire Distributors Holdings,Wholesalers: Diversified,1,2013,494,Yahoo,4986.6,3945.5
ABM Industries,Diversified Outsourcing Services,-1,2013,495,JetBlue Airways,4982,128
Sonoco Products,"Packaging, Containers",1,2013,496,Old Republic International,4970.1,-68.6
Harris,Network and Other Communications Equipment,-8,2013,497,Simon Property Group,4880.1,1434.5
Telephone & Data Systems,Telecommunications,0,2013,498,YRC Worldwide,4850.5,-140.4
Wisconsin Energy,Utilities: Gas and Electric,12,2013,499,CA,4829,951
Linn Energy,"Mining, Crude-Oil Production",13,2013,500,Nash-Finch,4820.8,-93.9
Raymond James Financial,Securities,-7,2014,1,Wal-Mart Stores,476294,16022
Berry Plastics Group,"Packaging, Containers",0,2014,2,Exxon Mobil,407666,32580
Regency Energy Partners,"Oil and Gas Equipment, Services",16,2014,3,Chevron,220356,21423
SCANA,Utilities: Gas and Electric,2,2014,4,Berkshire Hathaway,182150,19476
Cincinnati Financial,Insurance: Property and Casualty (Stock),-7,2014,5,Apple,170910,37037
Atmos Energy,Utilities: Gas and Electric,4,2014,6,Phillips 66,161175,3726
Pepco Holdings,Utilities: Gas and Electric,14,2014,7,General Motors,155427,5346
Flowserve,Industrial Machinery,3,2014,8,Ford Motor,146917,7155
Simon Property Group,Real estate,-10,2014,9,General Electric,146231,13057
Constellation Brands,Beverages,6,2014,10,Valero Energy,137758,2720
Quad/Graphics,"Publishing, Printing",-2,2014,11,AT&T,128752,18249
Burlington Stores,Specialty Retailers: Apparel,15,2014,12,CVS Health,126761,4592
Neiman Marcus Group,Specialty Retailers: Apparel,-5,2014,13,Fannie Mae,125696,83963
Bemis,"Packaging, Containers",10,2014,14,UnitedHealth Group,122489,5625
Coach,Apparel,10,2014,15,McKesson,122455,1338
Continental Resources,"Mining, Crude-Oil Production",10,2014,16,Verizon,120550,11497
Ascena Retail Group,Specialty Retailers: Apparel,-5,2014,17,HP,112298,5113
Zoetis,Pharmaceuticals,15,2014,18,JP Morgan Chase,106283,17923
Orbital ATK,Aerospace and Defense,12,2014,19,Costco,105156,2039
Frontier Communications,Telecommunications,-8,2014,20,Express Scripts Holding,104620,1845
Levi Strauss,Apparel,-3,2014,21,Bank of America Corp.,101697,11431
SPX,Industrial Machinery,9,2014,22,Cardinal Health,101093,334
CF Industries Holdings,Chemicals,15,2014,23,IBM,99751,16483
Michaels Cos.,Specialty Retailers: Other,9,2014,24,Kroger,98375,1519
M&T Bank Corp.,Commercial Banks,15,2014,25,Marathon Petroleum,93991,2112
Rush Enterprises,"Automotive Retailing, Services",15,2014,26,Citigroup,93629,13673
Aleris,Metals,12,2014,27,Archer Daniels Midland,89804,1342
Nexeo Solutions Holdings,Wholesalers: Diversified,-8,2014,28,AmerisourceBergen,89140,434
Keurig Green Mountain,Beverages,-8,2014,29,Wells Fargo,88069,21878
Superior Energy Services,"Oil and Gas Equipment, Services",5,2014,30,Boeing,86623,4585
Williams-Sonoma,Specialty Retailers: Other,-2,2014,31,Procter & Gamble,84167,11312
Robert Half International,Temporary Help,-10,2014,32,Freddie Mac,81221,48668
Nvidia,Semiconductors and Other Electronic Components,-10,2014,33,Home Depot,78812,5385
First American Financial,Insurance: Property and Casualty (Stock),9,2014,34,Microsoft,77849,21863
Zimmer Holdings,Medical Products and Equipment,3,2014,35,Amazon.com,74452,274
MDU Resources Group,Energy,0,2014,36,Target,72596,1971
Juniper Networks,Network and Other Communications Equipment,14,2014,37,Walgreen,72217,2450
Arthur J. Gallagher,Diversified Financials,14,2014,38,WellPoint,71458,2490
Colfax,Industrial Machinery,5,2014,39,Johnson & Johnson,71312,13831
Cliffs Natural Resources,"Mining, Crude-Oil Production",15,2014,40,AIG,68678,9085
Yahoo,Internet Services and Retailing,-9,2014,41,State Farm Insurance Cos.,68291,5189
MasTec,"Engineering, Construction",-9,2014,42,MetLife,68202,3368
Lam Research,Semiconductors and Other Electronic Components,-4,2014,43,PepsiCo,66415,6740
Axiall,Chemicals,5,2014,44,Comcast,64657,6816
Intercontinental Exchange,Securities,14,2014,45,United Technologies,62935,5721
Cintas,Diversified Outsourcing Services,-9,2014,46,Google,60629,12920
Coty,Household and Personal Products,-7,2014,47,ConocoPhillips,59433,9156
CA,Computer Software,15,2014,48,Dow Chemical,57080,4787
Andersons,Food Production,-6,2014,49,Caterpillar,55656,3789
Valspar,Chemicals,11,2014,50,UPS,55438,4372
Northern Trust,Commercial Banks,3,2014,51,Pfizer,53785,22003
Intuit,Computer Software,-2,2014,52,Lowe's,53417,2286
Tutor Perini,"Engineering, Construction",12,2014,53,Intel,52708,9620
Polaris Industries,Transportation Equipment,-3,2014,54,Energy Transfer Equity,48750,196
Hospira,Pharmaceuticals,7,2014,55,Cisco Systems,48607,9983
FM Global,Insurance: Property and Casualty (Stock),5,2014,56,Enterprise Products Partners,47727,2597
NVR,Homebuilders,9,2014,57,Aetna,47295,1914
Liberty Media,Entertainment,12,2014,58,Coca-Cola,46854,8584
Energizer Holdings,Household and Personal Products,-7,2014,59,Lockheed Martin,45358,2981
Bloomin' Brands,Food Services,12,2014,60,Best Buy,45225,532
Avaya,Network and Other Communications Equipment,53,2014,61,Disney,45041,6136
Westlake Chemical,Chemicals,6,2014,62,CHS,44480,992
Hyatt Hotels,"Hotels, Casinos, Resorts",12,2014,63,Sysco,44411,992
Mead Johnson Nutrition,Food Consumer Products,4,2014,64,FedEx,44287,1561
Activision Blizzard,Computer Software,-5,2014,65,Merck,44033,4404
Protective Life,"Insurance: Life, Health (stock)",2,2014,66,INTL FCStone,43768,19
Envision Healthcare Holdings,Health Care: Pharmacy and Other Services,-9,2014,67,Safeway,42982,3508
Fortune Brands Home & Security,"Home Equipment, Furnishings",-1,2014,68,Johnson Controls,42730,1178
RPM International,Chemicals,-2,2014,69,Ingram Micro,42554,311
VWR,Wholesalers: Diversified,3,2014,70,Plains GP Holdings,42249,15
LPL Financial Holdings,Securities,-7,2014,71,World Fuel Services,41562,203
Swift Transportation,"Trucking, Truck Leasing",7,2014,72,Prudential Financial,41471,-667
